Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	Application Package	
20XX		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\20XX\20XX.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
20XX		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\20XX\20XX.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Axiom Verge		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Axiom Verge\AxiomVerge.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Axiom Verge		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Axiom Verge\AxiomVerge.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Breach & Clear: Deadline		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Breach & Clear Deadline\DEADline.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Breach & Clear: Deadline		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Breach & Clear Deadline\DEADline.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Castle Crashers		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\CastleCrashers\castle.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Castle Crashers		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\CastleCrashers\castle.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Core 4 Client		Public	No	Allow	No	C:\program files (x86)\core 4\client\coreclient.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Core 4 Client		Public	No	Allow	No	C:\program files (x86)\core 4\client\coreclient.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
DARK SOULS™ III		Public	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\DARK SOULS III\Game\DarkSoulsIII.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
DARK SOULS™ III		Public	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\DARK SOULS III\Game\DarkSoulsIII.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Darkest Dungeon		Public	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\DarkestDungeon\_windows\Darkest.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Darkest Dungeon		Public	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\DarkestDungeon\_windows\Darkest.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
devenv.exe		All	No	Allow	No	C:\Program Files (x86)\Microsoft Visual Studio 14.0\Common7\IDE\devenv.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	Any	
Diablo III Retail		Public	No	Allow	No	C:\program files (x86)\diablo iii\diablo iii.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Diablo III Retail		Public	No	Allow	No	C:\program files (x86)\diablo iii\diablo iii.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Dragon's Dogma: Dark Arisen		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\DDDA\DDDA.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Dragon's Dogma: Dark Arisen		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\DDDA\DDDA.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
E.Y.E: Divine Cybermancy		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\EYE\EYE.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
E.Y.E: Divine Cybermancy		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\EYE\EYE.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Fallout 4		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Fallout4Launcher.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Fallout 4		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Fallout4Launcher.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
FILE TRANSFER 32 TCP		Private, Public	No	Allow	No	C:\Windows\system32\ftp.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
FILE TRANSFER 32 UDP		Private, Public	No	Allow	No	C:\Windows\system32\ftp.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
FILE TRANSFER WOW64 TCP		Private, Public	No	Allow	No	C:\Windows\SysWOW64\ftp.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
FILE TRANSFER WOW64 UDP		Private, Public	No	Allow	No	C:\Windows\SysWOW64\ftp.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
future soldier dx11		Public	No	Allow	No	D:\program files (x86)\steam\steamapps\common\tom clancy's ghost recon future soldier\future soldier dx11.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
future soldier dx11		Public	No	Allow	No	D:\program files (x86)\steam\steamapps\common\tom clancy's ghost recon future soldier\future soldier dx11.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
future soldier dx9		Private, Public	No	Allow	No	D:\program files (x86)\steam\steamapps\common\tom clancy's ghost recon future soldier\future soldier dx9.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
future soldier dx9		Private, Public	No	Allow	No	D:\program files (x86)\steam\steamapps\common\tom clancy's ghost recon future soldier\future soldier dx9.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Ghost Recon Phantoms		Public	No	Block	No	D:\program files (x86)\steam\steamapps\common\tom clancy's ghost recon phantoms na\game\ncsa-live\ghostreconphantoms.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Ghost Recon Phantoms		Public	No	Block	No	D:\program files (x86)\steam\steamapps\common\tom clancy's ghost recon phantoms na\game\ncsa-live\ghostreconphantoms.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Insurgency		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\insurgency2\insurgency_BE.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Insurgency		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\insurgency2\insurgency.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Insurgency		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\insurgency2\insurgency_BE.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Insurgency		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\insurgency2\insurgency.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
IntelUSBoverIP:1		All	No	Allow	No	C:\Program Files\Intel Corporation\USB over IP\bin\UoipService.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	Any	
jk2mp		Public	No	Allow	No	D:\program files (x86)\lucasarts\star wars jk ii jedi outcast\gamedata\jk2mp.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
